run,source_rows,qwen3guard_success,qwen3guard_total,qwen3guard_asr,non_refusal_success,non_refusal_total,non_refusal_asr,qwen25_judge_success,qwen25_judge_total,qwen25_judge_asr
baseline,1680,108,1680,0.06428571428571428,1618,1680,0.9630952380952381,420,1680,0.25
jailbound_v2,1680,64,1680,0.0380952380952381,1602,1680,0.9535714285714286,303,1680,0.18035714285714285
